,id
0,203262
1,350562
2,718122
3,680726
4,544582
5,279097
6,367611
7,234111
8,491200
9,29289
10,657601
11,525091
12,704101
13,576109
14,425609
15,280518
16,149474
17,622701
18,528359
19,450709
20,241011
21,479464
22,72721
23,395881
24,160719
25,556946
26,498922
27,313803
28,73833
29,668142
30,89293
31,373202
32,45452
33,485613
34,418177
35,465447
36,646010
37,291309
38,89769
39,460645
40,396254
41,585571
42,38498
43,691137
44,321972
45,131346
46,224812
47,341373
48,579706
49,212473
50,231313
51,267573
52,54243
53,422436
54,540892
55,139776
56,511937
57,303100
58,206060
59,546045
60,48260
61,510625
62,138864
63,381968
64,383955
65,541780
66,408874
67,539548
68,595988
69,544078
70,512618
71,441118
72,331421
73,427264
74,445858
75,542905
76,360584
77,98528
78,385028
79,280148
80,306752
81,446777
82,196533
83,660122
84,301097
85,595822
86,299693
87,3371
88,374197
89,536717
90,433677
91,13662
92,315484
93,622351
94,136529
95,627153
96,259972
97,243186
98,212023
99,621984
100,245951
101,371395
102,150205
103,73999
104,462228
105,273530
106,460215
107,293764
108,443575
109,468625
110,572849
111,304295
112,665320
113,417328
114,147939
115,655796
116,422066
117,349313
118,362043
119,619902
120,365786
121,144616
122,493397
123,416493
124,278686
125,574837
126,331972
127,351373
128,87777
129,411356
130,447536
131,219395
132,470645
133,500625
134,498021
135,668841
136,391968
137,608240
138,695524
139,393955
140,623110
141,529548
142,39773
143,359743
144,392647
145,324273
146,669753
147,129776
148,614263
149,501937
150,689507
151,321071
152,564134
153,397445
154,535091
155,88178
156,614799
157,118928
158,59888
159,316302
160,76332
161,400547
162,456327
163,96166
164,554582
165,269097
166,16933
167,63833
168,653212
169,384793
170,570527
171,383056
172,412983
173,286136
174,408177
175,495613
176,230502
177,661699
178,440709
179,197288
180,298128
181,49471
182,469464
183,251011
184,123681
185,350831
186,424448
187,384639
188,248660
189,523515
190,702485
191,169168
192,517949
193,298082
194,509957
195,681567
196,253186
197,300686
198,661733
199,589102
200,87327
201,496896
202,202023
203,609902
204,12073
205,44613
206,372043
207,428892
208,297377
209,39323
210,118882
211,59922
212,154616
213,240250
214,155904
215,556415
216,453575
217,405315
218,163565
219,238562
220,621087
221,456777
222,340132
223,242797
224,690376
225,289693
226,670122
227,397015
228,461404
229,552905
230,611431
231,566559
232,165848
233,422965
234,362940
235,545239
236,489260
237,126529
238,170349
239,653642
240,678512
241,266732
242,28532
243,397500
244,437771
245,321134
246,377754
247,272634
248,198038
249,645779
250,432089
251,8182
252,289386
253,690663
254,670437
255,238077
256,20417
257,590636
258,55517
259,230447
260,173973
261,654492
262,475502
263,653357
264,546803
265,700457
266,459197
267,469521
268,34004
269,442671
270,511171
271,447189
272,496879
273,18491
274,305191
275,256691
276,278239
277,589417
278,569643
279,253493
280,574972
281,661226
282,197637
283,650982
284,651690
285,426160
286,196925
287,595434
288,600735
289,319448
290,179884
291,135610
292,347618
293,311078
294,242778
295,668904
296,93221
297,119285
298,456798
299,181219
300,404912
301,375293
302,448786
303,484147
304,221256
305,277436
306,8478
307,178796
308,480807
309,391987
310,96473
311,553752
312,208091
313,611574
314,647314
315,317905
316,107331
317,151551
318,15309
319,129799
320,224404
321,406885
322,437321
323,613549
324,652815
325,473985
326,469171
327,251504
328,123394
329,265958
330,666449
331,619144
332,362805
333,684620
334,159161
335,540484
336,383543
337,526652
338,475152
339,423732
340,363717
341,230017
342,99786
343,508700
344,147485
345,248725
346,575230
347,602358
348,257829
349,189279
350,32979
351,629008
352,219680
353,255814
354,30944
355,261448
356,237228
357,351666
358,229236
359,416186
360,637016
361,509812
362,36193
363,43093
364,479872
365,530786
366,463086
367,561623
368,392352
369,277066
370,484517
371,44756
372,609847
373,695031
374,135240
375,551295
376,148770
377,615864
378,453430
379,345275
380,216575
381,478760
382,320725
383,712190
384,396311
385,199629
386,639458
387,646155
388,587409
389,552513
390,401213
391,679616
392,34907
393,652546
394,168796
395,349606
396,204118
397,546100
398,79881
399,303045
400,468330
401,446798
402,515098
403,426863
404,523903
405,702893
406,203327
407,116873
408,543302
409,588206
410,112099
411,493378
